Brian Singerman
Neeraj Agrawal
Xiaoping Xu
Peter Fenton
Scott Sandell
Ravi Mhatre
Robert Nelsen
Chris Dixon
Steven Ji
Hemant Taneja
Alfred Lin
Nisa Leung
Jeremy Liew
Jenny Lee
Joe Lonsdale
Jeremy Levine
Rahul Mehta
Bryan Roberts
Allen Zhu
Bruno Ribeiro
Scott Shleifer
Tuck Lye Koh
Peter Thiel
John Doerr
Jeffrey Lieberman
Michael Moritz
Jan Hammer
John Lindfors
Liu Erhai
Rick Heitzmann
Yi Cao
Aydin Senkut
Mike Volpi
Beth Seidenberg
Tony Florence
Shardul Shah
Shawn Carolan
Saurabh Gupta
Danny Rimer
Vinod Khosla
Pär-Jörgen Pärson
Ryan Sweeney
Klaus Hommels
Shailendra Singh
Jim Goetz
Frank Rotman
Bryan Schreier
Xiang Gao
Duane Kuang
Kui Zhou
Murat Bicer
Theresia Gouw
Garry Tan
Anton Levy
Jules Maltz
Jixun Foo
Carl Gordon
John O'Farrell
Josh Kopelman
Aileen Lee
Sonali De Rycker
Chetan Puttagunta
Fredrik Cassel
Steve Anderson
Young Guo
Kirsten Green
Sunil Dhaliwal
Byron Deeter
Marc Andreessen
Devdutt Yellurkar
Anna Fang
Roger Ehrenberg
Mamoon Hamid
Ping Li
Tim Connors
Ann Miura-Ko
Pat Grady
Asheem Chandna
Peter Levine
Scott Raney
Neil Shen
Andrew Braccia
Roelof Botha
Ben Horowitz
Navin Chaddha
Richard Liu
Bill Gurley
Mary Meeker
Eric Paley
Hans Tung
Rob Hayes
Douglas Leone
JP Gan
Kathy Xu
Sameer Gandhi
Lee Fixel
Bill Trenchard
Zhen Zhang
Xiaojun Li
Jeff Jordan
